Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Has A Kinder Garden,Has A Pre K,Grades At The School,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal Name,Geographical District Code,Admin District Location Code,Lat,Lon,Pre K Seats Available,Pre K Applicants,Pre K offers,Pre K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre K Total Enrollment Including Half Day And Full Day,Number of Female Students in Prek,Percentage of Female Students in Prek,Number of Male Students in Prek,Percentage of Male Students in Prek,Number of Asian Students in Prek,Percentage of Asian Students in Prek,Number of Black Students in Prek,Percentage of Black Students in Prek,Number of Hispanic Students in Prek,Percentage of Hispanic Students in Prek,Number of Students with a Race listed as Other in Prek,Percentage of Students with a Race listed as Other in Prek,Number of White Students in Prek,Percentage of White Students in Prek,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
26Q203,Q203,P.S. 203 Oakland Gardens,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",22463,1961,57,1050793,213927,411,23,138501,4074820317,QN42,Oakland Gardens                                                            ,DEBORAH FLORIO,26,Q826,40.753606,-73.759822,54,361,54,14.96%,100,621,125,20.13%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,62,28,45.16%,34,54.84%,36,58.06%,suppressed for privacy concerns,suppressed for privacy concerns,12,19.35%,suppressed for privacy concerns,suppressed for privacy concerns,13,20.97%,379,84.22%,409,91.09%,YES,0,24.5,0,24,0,1,GYMNASIUM,N,Inside,N,YES,YES,91,7572032,5003,5.333688699,938,129,144,144,157,142,160,0,0,0,0,0,0,0,437,46.59%,501,53.41%,681,72.60%,15,1.60%,94,10.02%,24,2.56%,124,13.22%,91,9.70%,123,13.11%,422,44.99%,0.3125362396,329,761,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,Yes,NONE,718-423-8652,"53-11 SPRINGFIELD BOULEVARD, QUEENS NY 11364",1,1,NO,Not Accessible,Yes
26Q205,Q205,P.S. 205 Alexander Graham Bell,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",19906,1954,64,1051764,208247,411,23,129103,4077530001,QN42,Oakland Gardens                                                            ,KAREN PIAZZA,26,Q826,40.738008,-73.756374,36,233,36,15.45%,50,305,46,15.08%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,33,18,54.55%,15,45.45%,19,57.58%,suppressed for privacy concerns,suppressed for privacy concerns,9,27.27%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,106,75.71%,117,82.98%,NO,Redacted for privacy concerns,23.5,0,0,0,1,GYMNASIUM,Y,Inside,N,YES,YES,38.4,3534419,0,0,325,47,42,54,50,47,52,0,0,0,0,0,0,0,155,47.69%,170,52.31%,144,44.31%,6,1.85%,66,20.31%,18,5.54%,91,28.00%,58,17.85%,16,4.92%,91,28.00%,0.2271630764,143,206,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,718-464-5773,"75-25 BELL BOULEVARD, QUEENS NY 11364",0.2,1,YES,Not Accessible,No
26Q213,Q213,P.S. 213 The Carl Ullman School,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",20271,1955,63,1054798,211698,411,23,137700,4076770001,QN42,Oakland Gardens                                                            ,Megan Mccauley,26,Q826,40.747457,-73.74539,72,159,72,45.28%,75,204,77,37.75%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,72,29,40.28%,43,59.72%,46,63.89%,suppressed for privacy concerns,suppressed for privacy concerns,10,13.89%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,124,70.06%,121,68.36%,NO,Redacted for privacy concerns,22.5,0,0,23,0,GYMNASIUM,Y,Inside,N,YES,YES,53.6,4961234,0,0,467,72,67,67,67,55,67,0,0,0,0,0,0,0,202,43.25%,265,56.75%,312,66.81%,28,6.00%,72,15.42%,10,2.14%,45,9.64%,54,11.56%,58,12.42%,260,55.67%,0.4741113484,265,296,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-423-8747,"231-02 67 AVENUE, QUEENS NY 11364",1,0,YES,Partially Accessible,Yes
26Q221,Q221,P.S. 221 The North Hills School,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",21367,1958,60,1058629,215845,411,23,152901,4082760620,QN45,Douglas Manor-Douglaston-Little Neck                                       ,Patricia Bullard,26,Q826,40.758808,-73.731518,18,177,18,10.17%,125,261,104,39.85%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,11,61.11%,7,38.89%,12,66.67%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,204,72.08%,223,78.52%,NO,0,22,0,0,25,2,GYMNASIUM,N,Inside,N,YES,YES,60.6,5611253,0,0,628,113,84,102,106,94,111,0,0,0,0,0,0,0,289,46.02%,339,53.98%,402,64.01%,17,2.71%,87,13.85%,8,1.27%,114,18.15%,79,12.58%,43,6.85%,248,39.49%,0.2545493543,275,478,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,718-423-8825,"57-40 MARATHON PARKWAY, QUEENS NY 11362",0.6,1,NO,Not Accessible,Yes
26Q266,Q266,P.S./I.S. 266,343000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",37803,2003,15,1059503,211228,413,23,156700,4078700074,QN43,Bellerose                                                                  ,Ayanna Greenidge,26,Q826,40.746128,-73.728415,18,151,18,11.92%,50,223,46,20.63%,85,237,93,0.392405063,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,7,38.89%,11,61.11%,6,33.33%,suppressed for privacy concerns,suppressed for privacy concerns,6,33.33%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,262,63.75%,188,50.40%,NO,26,23,0,0,20,2,GYMNASIUM,Y,Inside,N,YES,YES,70,6648787,2300,3.543913713,649,48,70,67,66,79,70,89,65,77,0,0,0,0,308,47.46%,341,52.54%,260,40.06%,129,19.88%,147,22.65%,19,2.93%,94,14.48%,139,21.42%,20,3.08%,347,53.47%,0.3474299014,268,372,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-479-3920,"74-10 COMMONWEALTH BOULEVARD, QUEENS NY 11426",1,1,YES,Fully Accessible,Yes
26Q376,Q376,P.S. 376,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",42979,2017,1,1047785,214477,411,19,144700,4073270028,QN46,Bayside-Bayside Hills                                                      ,CLARA KANG,26,Q826,40.754954,-73.770314,54,153,54,35.29%,75,182,70,38.46%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,42,24,57.14%,18,42.86%,24,57.14%,suppressed for privacy concerns,suppressed for privacy concerns,12,28.57%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,,,,,NO,0,19.5,0,0,20,0,No Data,No Data,No Data,No Data,NO,NO,21,1789786,0,0,101,59,0,0,0,0,0,0,0,0,0,0,0,0,52,51.49%,49,48.51%,61,60.40%,5,4.95%,20,19.80%,3,2.97%,12,11.88%,5,4.95%,12,11.88%,52,51.49%,0.3934059441,82,91,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,NULL,"210-21 48 AVENUE, QUEENS NY 11364",No Data,No Data,NO,Fully Accessible,No Data
27Q042,Q042,P.S./M.S 042 R. Vernam,343000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",9314,1925,93,1041237,155884,414,31,96400,4160390014,QN12,Hammels-Arverne-Edgemere                                                   ,Patricia Finn,27,Q827,40.594358,-73.794804,54,71,38,53.52%,75,78,67,85.90%,73,152,80,0.526315789,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,38,20,52.63%,18,47.37%,suppressed for privacy concerns,suppressed for privacy concerns,25,65.79%,11,28.95%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,67,17.72%,47,13.74%,NO,38,23.5,0,0,22,2,GYMNASIUM,Y,Inside,N,YES,YES,96,9557469,0,0,658,71,87,63,79,66,78,54,66,56,0,0,0,0,314,47.72%,344,52.28%,9,1.37%,478,72.64%,149,22.64%,13,1.98%,9,1.37%,172,26.14%,23,3.50%,632,96.05%,0.9072963595,200,463,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Zoned Waitlist,NONE,718-634-7914,"488 BEACH  66 STREET, QUEENS NY 11692",1,1,YES,Partially Accessible,Yes
27Q043,Q043,P.S. 043,343000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",35247,1996,22,1050602,155588,414,31,99802,4158200001,QN15,Far Rockaway-Bayswater                                                     ,Simone Nicholas,27,Q827,40.59348,-73.761086,72,132,64,48.48%,100,156,107,68.59%,,96,88,0.916666667,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,65,36,55.38%,29,44.62%,suppressed for privacy concerns,suppressed for privacy concerns,38,58.46%,22,33.85%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,122,23.37%,85,18.36%,NO,78,24,0,0,23,1,DANCE ROOM,Y,Inside,N,YES,YES,118,11036091,0,0,901,98,100,94,102,117,102,90,71,62,0,0,0,0,470,52.16%,431,47.84%,22,2.44%,522,57.94%,299,33.19%,14,1.55%,44,4.88%,186,20.64%,80,8.88%,819,90.90%,0.8613151908,239,649,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,718-327-5860,"160 BEACH  29 STREET, QUEENS NY 11691",2,2,YES,Fully Accessible,Yes
27Q045,Q045,P.S. 045 Clarence Witherspoon,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,06,SE",5296,1914,104,1042818,184128,412,28,78800,4121040001,QN76,Baisley Park                                                               ,Samantha Severin,27,Q827,40.671871,-73.788866,36,70,36,51.43%,75,73,49,67.12%,No Data,No Data,No Data,No Data,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,25,12,48.00%,13,52.00%,suppressed for privacy concerns,suppressed for privacy concerns,21,84.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,34,25.56%,38,29.01%,NO,Redacted for privacy concerns,19,0,0,17,1,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,YES,NO,53,4946503,0,0,325,56,52,51,43,42,56,0,0,0,0,0,0,0,147,45.23%,178,54.77%,19,5.85%,216,66.46%,68,20.92%,15,4.62%,7,2.15%,68,20.92%,33,10.15%,293,90.15%,0.7436153889,97,234,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-480-2500,"126-28 150 STREET, QUEENS NY 11436",1,0,NO,Not Accessible,Yes
27Q047,Q047,P.S. 047 Chris Galas,343000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",21002,1957,61,1033928,160283,414,32,107201,4153130485,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,Heather Lorenz,27,Q827,40.606476,-73.821089,18,77,18,23.38%,25,101,20,19.80%,,32,Suppressed For Privacy,Suppressed For Privacy,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,15,8,53.33%,7,46.67%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,13,86.67%,75,60.98%,68,55.28%,NO,Redacted for privacy concerns,26,0,0,0,1,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,YES,NO,43,3864154,0,0,216,26,30,19,31,24,31,16,10,14,0,0,0,0,109,50.46%,107,49.54%,1,0.46%,3,1.39%,40,18.52%,3,1.39%,169,78.24%,55,25.46%,3,1.39%,74,34.26%,0.3632314801,46,109,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,718-634-7167,"9 POWER ROAD, QUEENS NY 11693",1,0,NO,Partially Accessible,No
27Q051,Q051,P.S. 051,343000000000,DOE,General Academic,Early Childhood,YES,YES,"PK,0K,01,SE",35247,1996,22,1030964,193726,409,29,12200,4093270026,QN54,Richmond Hill                                                              ,MAGDALY SAINT JUSTE,27,Q827,40.698286,-73.831532,36,175,36,20.57%,125,162,105,64.81%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,22,61.11%,14,38.89%,11,30.56%,suppressed for privacy concerns,suppressed for privacy concerns,17,47.22%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,,,,,NO,0,22.5,0,0,20,1,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,NO,YES,25.4,2869031,0,0,244,111,97,0,0,0,0,0,0,0,0,0,0,0,136,55.74%,108,44.26%,68,27.87%,7,2.87%,111,45.49%,18,7.38%,40,16.39%,23,9.43%,68,27.87%,195,79.92%,0.6524262428,191,180,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,718-850-0738,"87-45 117 STREET, QUEENS NY 11418",0.2,0,NO,Fully Accessible,Yes
27Q060,Q060,P.S. 060 Woodhaven,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",24289,1966,52,1025073,191231,409,32,1800,4089290058,QN53,Woodhaven                                                                  ,FRANK DESARIO,27,Q827,40.691467,-73.852792,72,301,72,23.92%,175,346,174,50.29%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,72,35,48.61%,37,51.39%,12,16.67%,suppressed for privacy concerns,suppressed for privacy concerns,56,77.78%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,282,50.36%,383,67.67%,NO,Redacted for privacy concerns,22,0,0,18,1,GYMNASIUM,N,Inside,N,YES,NO,107,11509278,0,0,1176,159,171,179,169,201,225,0,0,0,0,0,0,0,566,48.13%,610,51.87%,190,16.16%,37,3.15%,846,71.94%,57,4.85%,46,3.91%,180,15.31%,214,18.20%,"1,032",87.76%,0.7511428595,238,896,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-441-5046,"91-02 88 AVENUE, QUEENS NY 11421",1,1,NO,Partially Accessible,Yes
27Q062,Q062,P. S. 62 - Chester Park School,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",20271,1955,63,1029852,190107,409,28,11000,4094100001,QN54,Richmond Hill                                                              ,ANGELA ODOWD,27,Q827,40.688359,-73.835567,36,239,36,15.06%,175,242,145,59.92%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,15,41.67%,21,58.33%,17,47.22%,suppressed for privacy concerns,suppressed for privacy concerns,12,33.33%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,218,51.29%,224,52.34%,NO,Redacted for privacy concerns,23,0,0,22,1,DANCE ROOM,N,Inside,N,YES,YES,88,8915489,0,0,944,167,139,158,135,137,172,0,0,0,0,0,0,0,462,48.94%,482,51.06%,564,59.75%,33,3.50%,239,25.32%,86,9.11%,22,2.33%,104,11.02%,150,15.89%,656,69.49%,0.7166006565,460,613,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-286-4460,"97-25 108 STREET, QUEENS NY 11419",1,1,NO,Partially Accessible,Yes
27Q063,Q063,P.S. 063 Old South,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",10044,1927,91,1026745,185955,410,32,5400,4091550025,QN56,Ozone Park                                                                 ,Diane Marino Coleman,27,Q827,40.676978,-73.846796,54,229,54,23.58%,175,247,155,62.75%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,54,28,51.85%,26,48.15%,23,42.59%,suppressed for privacy concerns,suppressed for privacy concerns,28,51.85%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,299,49.75%,322,52.70%,NO,0,22,0,0,23,1,MULTI-PURPOSE CLASSROOM,N,Inside,Y,YES,YES,122,12172092,0,0,1227,160,185,193,202,223,210,0,0,0,0,0,0,0,614,50.04%,613,49.96%,423,34.47%,67,5.46%,595,48.49%,59,4.81%,83,6.76%,199,16.22%,174,14.18%,"1,060",86.39%,0.690726161,532,878,4,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-845-7560,"90-15 SUTTER AVENUE, QUEENS NY 11417",2,1,NO,Partially Accessible,Yes
27Q064,Q064,P.S. 064 Joseph P. Addabbo,343000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05,SE",14793,1940,78,1023924,187744,409,32,4200,4090530014,QN53,Woodhaven                                                                  ,Elizabeth Mitchell,27,Q827,40.681901,-73.856956,No Pre K,No Pre K,No Pre K,No Pre K,75,198,76,38.38%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,172,55.66%,161,51.77%,NO,Redacted for privacy concerns,20,0,0,0,1,GYMNASIUM,N,Inside,N,YES,YES,55,5546754,0,0,616,83,100,109,96,112,116,0,0,0,0,0,0,0,306,49.68%,310,50.32%,368,59.74%,20,3.25%,191,31.01%,26,4.22%,11,1.79%,65,10.55%,127,20.62%,458,74.35%,0.7813360095,249,434,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-845-8290,"82-01 101 AVENUE, QUEENS NY 11416",1,0,NO,Partially Accessible,Yes
27Q065,Q065,P.S. 65 - The Raymond York Elementary School,343000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05,SE",36342,1999,19,1028162,187894,410,32,4002,4091210011,QN56,Ozone Park                                                                 ,RAFAEL MORALES,27,Q827,40.682293,-73.841675,18,134,18,13.43%,75,139,49,35.25%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,126,56.00%,107,46.93%,NO,Redacted for privacy concerns,23.5,0,0,26,1,GYMNASIUM,N,Inside,N,NO,NO,52,5246650,0,0,456,79,55,84,75,68,95,0,0,0,0,0,0,0,227,49.78%,229,50.22%,173,37.94%,29,6.36%,196,42.98%,45,9.87%,13,2.85%,87,19.08%,49,10.75%,324,71.05%,0.7626578808,111,382,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-323-1685,"103-22 99 STREET, QUEENS NY 11417",0,0,NO,Partially Accessible,No
27Q066,Q066,P.S. 066 Jacqueline Kennedy Onassis,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",-547,1898,120,1026915,193593,409,32,2400,4091830001,QN54,Richmond Hill                                                              ,HELEN DESARIO,27,Q827,40.697941,-73.846135,36,157,36,22.93%,75,183,72,39.34%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,15,41.67%,21,58.33%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,20,55.56%,suppressed for privacy concerns,suppressed for privacy concerns,9,25.00%,124,52.99%,124,51.88%,NO,Redacted for privacy concerns,21.5,0,0,21,1,GYM/AUDITORIUM,N,Inside,Y,YES,NO,63,5714039,0,0,494,64,66,77,81,83,87,0,0,0,0,0,0,0,237,47.98%,257,52.02%,69,13.97%,26,5.26%,319,64.57%,30,6.07%,50,10.12%,130,26.32%,134,27.13%,430,87.04%,0.6694352031,170,405,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-849-0184,"85-11 102 STREET, QUEENS NY 11418",1,0,NO,Not Accessible,Yes
27Q090,Q090,P.S. 090 Horace Mann,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",3470,1909,109,1028751,193127,409,32,12800,4092040028,QN54,Richmond Hill                                                              ,ADRIENNE UBERTINI,27,Q827,40.696653,-73.839517,54,149,54,36.24%,125,167,129,77.25%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,54,29,53.70%,25,46.30%,25,46.30%,suppressed for privacy concerns,suppressed for privacy concerns,24,44.44%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,169,42.68%,190,47.03%,NO,Redacted for privacy concerns,24.75,0,0,25,1,PLAYROOM/CAFETERIA,N,Inside,Y,YES,NO,96,8600057,0,0,850,131,125,119,142,147,132,0,0,0,0,0,0,0,424,49.88%,426,50.12%,284,33.41%,38,4.47%,464,54.59%,25,2.94%,39,4.59%,142,16.71%,185,21.76%,771,90.71%,0.7349035144,186,674,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-847-3370,"86-50 109 STREET, QUEENS NY 11418",1,1,NO,Not Accessible,Yes
27Q096,Q096,P.S. 096,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",5661,1915,103,1037472,185390,410,28,18000,4116940027,QN55,South Ozone Park                                                           ,Vivian Eweka,27,Q827,40.675369,-73.808128,36,190,36,18.95%,50,124,40,32.26%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,35,18,51.43%,17,48.57%,21,60.00%,7,20.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,73,55.73%,79,59.85%,NO,0,19.5,0,0,0,1,PLAYROOM,N,Inside,N,YES,NO,30.6,3080140,0,0,306,40,41,52,44,55,39,0,0,0,0,0,0,0,148,48.37%,158,51.63%,140,45.75%,65,21.24%,42,13.73%,46,15.03%,13,4.25%,32,10.46%,42,13.73%,260,84.97%,0.7016732097,83,232,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-529-2547,"130-01 ROCKAWAY BOULEVARD, QUEENS NY 11420",0.4,0,NO,Not Accessible,Yes
27Q097,Q097,P.S. 097 Forest Park,343000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",6027,1916,102,1023064,192235,409,32,1200,4088550020,QN53,Woodhaven                                                                  ,Marilyn Custodio,27,Q827,40.694232,-73.860031,36,182,36,19.78%,125,233,114,48.93%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,16,44.44%,20,55.56%,6,16.67%,suppressed for privacy concerns,suppressed for privacy concerns,27,75.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,154,50.99%,156,50.32%,NO,0,22.75,0,0,19,0,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,YES,YES,79,7318155,0,0,720,117,126,105,112,117,107,0,0,0,0,0,0,0,344,47.78%,376,52.22%,128,17.78%,16,2.22%,519,72.08%,15,2.08%,42,5.83%,119,16.53%,167,23.19%,634,88.06%,0.7283388972,253,603,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-849-4870,"85-52 85 STREET, QUEENS NY 11421",1,1,NO,Partially Accessible,Yes
